ano,unidade,nome_unidade_norm,demanda_efetiva_prevista,demanda_cenario_persistencia,demanda_p025_condicional,demanda_p975_condicional,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_2025_proxy_capacidade,rede,capacity_concept,capacity_coverage,planning_gap,planning_gap_p025,planning_gap_p975,planning_gap_persistencia,gap_positivo
2026,0716614,CM AUGUSTO DE CARVALHO TORRES FILHO,176.98311535108172,154.9180898287288,102.8361134727437,269.47619535570425,continuante,Pública,Creche,7.0,7.9,Curicica,-22.955267,-43.390377,49.0,publica,matriculas_2025_proxy,True,127.98311535108172,53.836113472743705,220.47619535570425,105.9180898287288,True
2026,02048,CP LAR CANTINHO FELIZ,176.91945540786332,156.3208859532394,99.81949672528256,273.5352331666219,continuante,Parceira,Creche Parceira,2.0,2.15,VILA ISABEL,-22.91503469,-43.25269838,109.0,parceira,matriculas_2025_proxy,True,67.91945540786332,-9.180503274717438,164.53523316662188,47.32088595323941,True
2026,0625802,EDI WESLEY GUILBER RODRIGUES DE ANDRADE,174.16618774250003,140.80150491073104,101.78483866711667,264.86534673657343,continuante,Pública,EDI,6.0,6.5,Costa Barros,-22.820877,-43.368983,69.0,publica,matriculas_2025_proxy,True,105.16618774250003,32.784838667116674,195.86534673657343,71.80150491073104,True
2026,0716803,EDI COMPOSITOR ROBERTO RIBEIRO,173.82075911747484,135.06355333732355,102.33259692440716,263.21405854509493,continuante,Pública,EDI,7.0,7.18,Anil,-22.957616,-43.331432,50.0,publica,matriculas_2025_proxy,True,123.82075911747484,52.332596924407156,213.21405854509493,85.06355333732355,True
2026,0716613,CM MARIA DA CONCEICAO SILVEIRA DE CARVALHO,172.32203079999687,130.50538832887472,100.06001373736508,262.75483909487485,continuante,Pública,Creche,7.0,7.27,Jacarepaguá,-22.968566,-43.389478,54.0,publica,matriculas_2025_proxy,True,118.32203079999687,46.06001373736508,208.75483909487485,76.50538832887472,True
2026,05006,CP CRECHE CARDEAL CAMARA,171.07223505243255,155.08843168770696,91.79308305832252,271.21903001771125,continuante,Parceira,Creche Parceira,5.0,5.17,CAMPINHO,-22.88763764,-43.34557373,185.0,parceira,matriculas_2025_proxy,True,-13.927764947567454,-93.20691694167748,86.21903001771125,-29.911568312293042,False
2026,09021,CP INSTITUTO CRESCER & APRENDER,170.51101271357564,144.78741722832004,101.07359764469764,257.4123733279316,continuante,Parceira,Creche Parceira,9.0,9.14,INHOAÍBA,-22.90626,-43.59867,277.0,parceira,matriculas_2025_proxy,True,-106.48898728642436,-175.92640235530234,-19.58762667206838,-132.21258277167996,False
2026,09026,CP CRECHE COMUNITARIA LEAOZINHO FELIZ,170.44539900573736,145.2218340000365,101.04002677123144,257.18851031801967,continuante,Parceira,Creche Parceira,9.0,9.13,COSMOS,-22.90216,-43.61082,123.0,parceira,matriculas_2025_proxy,True,47.44539900573736,-21.95997322876856,134.18851031801967,22.221834000036495,True
2026,10022,CP ASSOCIACAO DE MORADORES E AMIGOS DO PARQUE ESTORIL - AMAPE,169.6542350506406,166.43163240317682,100.55612971714211,256.0629227943588,continuante,Parceira,Creche Parceira,10.0,10.18,PACIÊNCIA,-22.9226,-43.63206,214.0,parceira,matriculas_2025_proxy,True,-44.34576494935939,-113.44387028285789,42.062922794358826,-47.56836759682318,False
2026,06009,CP CENTRO EDUCACIONAL NOSSA SENHORA APARECIDA,168.0026014174561,187.98782298397757,97.5808502549059,255.98485828307247,continuante,Parceira,Creche Parceira,6.0,6.12,ANCHIETA,-22.82195586,-43.39752575,305.0,parceira,matriculas_2025_proxy,True,-136.9973985825439,-207.4191497450941,-49.01514171692753,-117.01217701602243,False
2026,1019623,CM SEMPRE VIDA TERRA DA PAZ,166.67958149736717,142.39623011360092,99.17683979834122,251.04079621630635,continuante,Pública,Creche,10.0,10.19,Paciência,-22.921142,-43.630065,68.0,publica,matriculas_2025_proxy,True,98.67958149736717,31.17683979834122,183.04079621630635,74.39623011360092,True
2026,09033,CP TEMPO DE CRIANCA,164.4469865745408,129.2459815935628,98.24801485727303,247.26286659378857,continuante,Parceira,Creche Parceira,9.0,9.18,CAMPO GRANDE,-22.89612,-43.57793,82.0,parceira,matriculas_2025_proxy,True,82.4469865745408,16.248014857273034,165.26286659378857,47.24598159356279,True
2026,04016,CP CRECHE LAR IRMAO FRANCISCO,164.22622866240368,199.3453562605997,93.78379271811254,252.54004964768865,continuante,Parceira,Creche Parceira,4.0,4.1,MANGUINHOS,-22.875973,-43.25116019,135.0,parceira,matriculas_2025_proxy,True,29.226228662403685,-41.21620728188746,117.54004964768865,64.34535626059969,True
2026,0430801,"EDI PESCADOR ISIDORO DUARTE - ""DORO""",163.7571375992735,140.62772712412666,96.64404398507092,247.6810922914709,continuante,Pública,EDI,4.0,4.7,Bonsucesso,-22.862239,-43.238621,31.0,publica,matriculas_2025_proxy,True,132.7571375992735,65.64404398507092,216.6810922914709,109.62772712412666,True
2026,0724801,EDI MILENA SANTOS NASCIMENTO,163.5382109188284,110.0860453143024,95.8342884424719,248.59990290095524,continuante,Pública,EDI,7.0,7.28,Recreio,-23.023984,-43.489959,124.0,publica,matriculas_2025_proxy,True,39.53821091882841,-28.1657115575281,124.59990290095524,-13.913954685697604,True
